312067,97
630935,932
196027,944
635376,339
986299,415
925801,321
261828,403
623463,996
409672,594
914505,509
942709,769
969480,216
249499,658
455350,720
680275,884
280163,184
246750,393
331841,412
500353,308
308302,311
370583,604
347793,870
173807,493
426612,187
458410,829
789333,606
969381,164
574925,134
308382,384
525024,321
757582,890
793568,818
127996,843
653991,67
251503,556
342503,382
771166,351
200402,719
581248,143
616115,829
315595,460
828943,235
741917,251
371780,362
651781,588
640940,935
958660,416
869680,856
174438,343
198756,245
976375,906
357581,704
645558,413
71282,535
56482,617
556564,611
830681,329
118819,888
227643,333
799506,844
330224,964
362052,254
503940,785
319937,486
451971,768
507036,479
21667,379
492941,940
674319,995
556110,660
648641,686
865423,316
771363,793
650162,808
255834,229
424880,110
700544,42
559006,657
270715,83
302013,930
248642,266
750794,257
910233,756
285550,766
668354,156
279631,185
239718,820
989419,558
684641,434
269745,336
203394,751
188539,562
623532,197
450022,758
955582,292
78147,323
490660,666
396816,421
551021,277
379796,511
219280,552
547059,389
164540,740
580900,703
834242,107
493279,95
240388,245
518368,318
142422,43
258323,522
443531,582
321777,266
4804,984
354871,633
496685,846
58916,83
374421,672
453819,67
616083,450
142728,828
628151,629
19549,812
846796,626
484529,403
531741,572
89083,65
116584,404
608000,431
788644,701
563798,938
791082,266
945528,626
490046,722
99736,507
533321,463
345971,523
161631,202
14529,844
587298,467
826029,169
44685,581
448466,544
987797,271
706227,394
775498,150
247269,456
625075,170
814603,548
131317,593
761893,509
158218,385
956003,110
519919,504
716617,244
523652,36
959267,763
210529,670
950813,131
323118,235
402910,827
770889,63
443175,735
230889,328
381978,705
425153,693
750191,34
324863,804
489318,174
853933,264
314226,973
285059,685
45937,365
551098,495
245728,150
283123,729
564121,870
519677,32
195734,976
681830,981
15281,810
792914,263
732602,421
582525,458
707340,27
594772,642
452289,980
838246,74
803297,644
367640,845
645687,264
359657,748
35984,553
891790,13
324634,930
85697,261
662638,394
772001,852
989544,269
792658,738
219453,172
398184,722
635611,297
58494,42
37304,92
920416,17
470536,565
20391,849
326214,323
916386,487
71779,86
979389,710
601831,688
345127,387
458211,583
802092,482
94995,155
35460,38
320344,755
299795,419
363933,84
439042,105
571926,652
973748,550
960435,962
613662,953
521005,255
506921,900
821626,255
315850,263
103058,180
184337,682
244947,818
647569,883
265649,380
514679,276
119190,576
943637,755
705191,300
374412,32
914560,680
659993,314
793547,756
422995,188
996454,393
35801,345
572497,88
318812,916
403459,63
925425,709
298904,935
303720,336
771794,118
38543,219
630372,625
223951,130
438172,281
315733,318
237071,465
283085,842
469703,171
526027,872
483555,652
212769,212
232533,545
983054,635
785766,130
599350,144
76747,197
961637,375
479481,353
930065,275
3229,482
204803,405
611101,421
612439,317
276300,425
783184,68
438858,748
12182,371
712182,466
489780,742
725308,806
967541,287
55449,382
124124,506
47865,485
445607,169
856354,49
246964,330
860080,881
294669,642
361312,767
691222,325
303787,47
552191,118
701104,555
580522,241
618762,633
356083,651
308414,587
59727,441
884493,478
188853,418
267202,609
510369,412
406887,516
833111,878
896325,698
992894,812
721790,336
319434,699
